favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
53016,Twitter for iPhone,Great @Cabinet meeting at the @WhiteHouse this morning! https://t.co/kzmfovwUeb https://t.co/7AgbwbFNuw,,False,Mon Apr 09 19:32:27 +0000 2018,10483,983427438691708929
286,Twitter for Android,"""@realBrianBuxton: @fluffyguy why is @realDonaldTrump even at a @wwe event?""  Ratings asshole - I'll bet in life you are a very big failure!",,False,Sun Apr 07 11:22:27 +0000 2013,295,320859109299716096
18,Twitter Web Client,With @IvankaTrump and crew at the start of a new @DoralResort. http://t.co/nu0VqdMhEu,,False,Thu Apr 18 20:27:22 +0000 2013,24,324982507839815680
1,Twitter for Android,@Lumberportal  That's great!,LAhomecoming,False,Sat Apr 20 10:47:42 +0000 2013,2,325561405279453184
116,Twitter for Android,Snow and freezing weather all over mid-section of Country. Global warming specialists better start thinking fast!,,False,Wed May 01 13:04:35 +0000 2013,245,329582122463535104
80,Twitter Web Client,"@mschrock4 I never went bankrupt, you dope!",mschrock4,False,Thu Apr 25 16:53:39 +0000 2013,66,327465439951196160
8,Twitter for Android,"""@ShaneFontaine7: @realDonaldTrump what a great fragrance success is. Love the sentiment and it lasts all day. Thanks Donald"" No, thanks @S.",,False,Sat Apr 20 10:43:54 +0000 2013,11,325560449242374144
16,Twitter Web Client,Photo from a recent episode of @ApprenticeNBC - saying those two famous words! http://t.co/Yo6s4Az5Fq,,False,Mon Apr 29 23:46:05 +0000 2013,23,329018784209854465
47,Twitter Web Client,"Dangerous. While Obama is cutting down our military, China has announced plans to build more aircraft carriers http://t.co/JJnSRYhU9w",,False,Thu Apr 25 19:28:11 +0000 2013,165,327504327335886848
2,Twitter for Android,@BrosHoban  Thanks!,,False,Wed Apr 10 08:45:31 +0000 2013,4,321906779573334016
1331,Twitter Web Client,.@MacMiller has over 79M hits on YouTube &amp; just hit platinum with his Donald Trump song—screw you Mac!,,False,Mon Apr 22 16:13:16 +0000 2013,2486,326368111546732545
15,Twitter Web Client,.@alexsalmond @pressjournal @BBCNews RT @DanScavino - one would think the photo &amp; caption - says it all.... http://t.co/0nOkuUvuuV,,False,Fri Apr 12 19:16:21 +0000 2013,58,322790307974488064
199,Twitter Web Client,“Being true to yourself and your work is an asset. Remember that assets are worth protecting.” – Think Like a Champion,,False,Fri Apr 26 20:31:25 +0000 2013,378,327882631431745536
68946,Twitter for iPhone,“Trump just took a giant step towards actual welfare reform” https://t.co/LQlACDDLug,,False,Wed Apr 11 19:47:07 +0000 2018,16323,984155907251687424
4,Twitter Web Client,Can @pennjillette @lisarinna and @THEGaryBusey continue to co-exist? Find out on this Sunday’s Celebrity All-Star @ApprenticeNBC.,,False,Fri Apr 26 15:28:57 +0000 2013,12,327806510245744641
16,Twitter Web Client,Spent the weekend in LA checking out Trump National Golf Club on the Pacific Ocean. An amazing place!  http://t.co/REIlVbo99C,,False,Mon Apr 22 15:59:08 +0000 2013,24,326364555229949952
101,Twitter for Android,Great job @AdamScott - you deserve it!,,False,Sun Apr 14 23:43:08 +0000 2013,222,323582220998688768
1,Twitter Web Client,@JordanKnoxville @ApprenticeNBC Starting next week the show increases to 2 hours.,WHYsoDiABEETUS,False,Fri Apr 05 21:24:20 +0000 2013,2,320285800480768000
3,Twitter for Android,"""@jamie461: @realDonaldTrump @thedailyshow Looking forward to watching him destroy you again while we all laugh."" He wouldn't have a chance!",,False,Thu Apr 25 12:20:02 +0000 2013,7,327396582574137345
13,Twitter for Android,"""@Slave4Suzi: @KatrinaDeVita I highly recommend you follow @realDonaldTrump if you don't already. The man's a genius."" Thank you!",,False,Thu Apr 18 00:50:31 +0000 2013,20,324686345555550210
198,Twitter Web Client,The Boston killer applying today for ObamaCare. He demands that medical bills be taken care of immediately. Does this include dental?,,False,Wed Apr 24 16:45:06 +0000 2013,563,327100901271691264
7,Twitter for Android,"""@dolliemjs02: @realDonaldTrump I liked Donald Trump on The To Night Show with David Letterman""  Thanks!",,False,Sat Apr 13 23:33:31 +0000 2013,9,323217413241991168
36,Twitter Web Client,By Scotland officials canceling my local ad about how damaging wind turbines are- it became a much bigger story around the world. Great!,,False,Mon Apr 29 21:57:35 +0000 2013,80,328991480121274370
35443,Twitter for iPhone,"The @WhiteHouse is partnering with @Interior and @NatlParkService to bring the @NSCsafety's “Prescribed to Death” Opioid Memorial to the Ellipse - beginning tomorrow, April 12th to April 18th. More information: https://t.co/z4FPQxt4Bl https://t.co/XvScPqvAkQ",,False,Wed Apr 11 15:47:46 +0000 2018,8545,984095671262367744
122708,Twitter for iPhone,A TOTAL WITCH HUNT!!!,,False,Tue Apr 10 11:08:18 +0000 2018,31079,983662953894436864
1,Twitter Web Client,@aclutter51  We need someone!,aclutter51,False,Thu Apr 18 18:37:28 +0000 2013,1,324954849206759424
3,Twitter Web Client,@LarryRobertWyat Our country needs a negotiator--we are failing fast!,,False,Wed Apr 17 13:17:34 +0000 2013,6,324511958575489024
149,Twitter for Android,"""@gharo34: @realDonaldTrump Not only is your IQ somewhere between Barack Obama and G.W.Bush...but you're entertaining!""Much higher than both",,False,Wed May 01 00:23:49 +0000 2013,92,329390667438624768
1,Twitter Web Client,@ccade937 Thank you.,ccade937,False,Tue Apr 16 20:59:00 +0000 2013,3,324265693015072768
23,Twitter for Android,"""@MeganEHolstein: @realDonaldTrump your family is inspiring - rags to riches in three generations. God Bless America."" Thanks Megan!",,False,Sat Apr 20 13:18:33 +0000 2013,28,325599368356962307
36,Twitter Web Client,.@EricTrumpFdn continues to do important work for @StJude Children’s Research Hospital. I am very proud of @EricTrump's philanthropy.,,False,Mon Apr 01 02:38:18 +0000 2013,40,318552874047127552
